,importance
CREDIT_CARD_36_MONTH_AMT_INST_MIN_REGULARITY_mean,0.37696538698820986
FLAG_OWN_CAR,0.3722287470951293
WEAK_FEATURE_2,0.34724051039496423
POS_CASH_GENERAL_CNT_INSTALMENT_FUTURE_sum,0.33880265299497936
BUREAU_GENERAL_SK_ID_BUREAU_count,0.3270534781905821
INSTALLMENTS_PAYMENT_LAST_30_DAYS_sum,0.3216132619241077
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_SUM,0.3199836508881336
PREV_APP_PREV_ANNUITY_PAYMENT_PRODUCT_MEAN,0.3165522551338292
days_employed_percentage,0.3072027364604181
DAYS_EMPLOYED,0.3007940705568649
WEAK_FEATURE,0.2898843390408443
WEAK_FEATURE_3,0.28239883051102327
PREV_APP_APPROVED_AMT_GOODS_PRICE_MIN,0.2813174046690989
POS_CASH_GENERAL_COUNT_SK_DPD_DEF_mean,0.2700462111736156
OWN_CAR_AGE,0.26850803655857286
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MEAN,0.2540463085258774
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_MEAN,0.24564010617961482
BUREAU_ACTIVE_AMT_CREDIT_SUM,0.239600997411553
PREV_APP_REFUSED_AMT_CREDIT_SUM,0.23699656341898648
POS_CASH_GENERAL_SK_DPD_DEF_var,0.2360340006831181
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MIN,0.23420943844917405
BUREAU_AMT_CREDIT_MEAN_x,0.2279818729294806
PREV_APP_PREV_AMT_ANNUITY_SUM,0.21352201451089753
FLOORSMIN_MEDI,0.21032489608122074
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_std,0.20669865940425344
INSTALLMENTS_PAYMENT_LAST_90_DAYS_std,0.19821281111785538
PREV_APP_REFUSED_AMT_CREDIT_MIN,0.1980298990876051
PREV_APP_APPROVED_AMT_CREDIT_MEAN,0.1941150788334744
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_SUM,0.19353106725213473
PREV_APP_APPROVED_Insuranced_amt_credit_STD,0.19320176243763346
PREV_APP_PREV_AMT_APPLICATION_STD,0.19135524542182641
CREDIT_CARD_36_MONTH_AMT_CREDIT_LIMIT_ACTUAL_std,0.1898761550927069
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MAX,0.18882703522931826
CREDIT_CARD_6_MONTH_AMT_CREDIT_LIMIT_ACTUAL_mean,0.18765988773738668
PREV_APP_REFUSED_AMT_CREDIT_MEAN,0.18252701326054416
POS_CASH_GENERAL_SK_DPD_DEF_sum,0.1811485476496797
BUREAU_SUM_CONSUMER_CREDIT,0.17893621409280255
CREDIT_CARD_36_MONTH_AMT_PAYMENT_TOTAL_CURRENT_sum,0.17825420201533146
PREV_APP_APPROVED_AMT_APPLICATION_MEAN,0.17726001198365532
CREDIT_CARD_6_MONTH_AMT_BALANCE_sum,0.17673554250057483
POS_CASH_GENERAL_NUM_INSTALMENT_sum,0.17523310886299018
PREV_APP_APPROVED_Insuranced_amt_application_STD,0.17407852325290227
POS_CASH_GENERAL_SK_DPD_DEF_max,0.1722568775041936
