,importance
POS_CASH_NOT_COMPLETED_LAST_12_MONTHS,0.13157358269195019
ELEVATORS_MODE,0.1314129158962833
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_max,0.128176994472368
LIVINGAREA_AVG,0.12806437486902583
PREV_APP_PREV_AMT_CREDIT_STD,0.12773897321536742
NAME_INCOME_TYPE_Working,0.1272962388435517
PREV_APP_REFUSED_AMT_GOODS_PRICE_SUM,0.12628094317006813
INSTALLMENTS_PAYMENT_LAST_60_DAYS_mean,0.12588957490842073
PREV_APP_APPROVED_CNT_PAYMENT_SUM,0.12501107562070343
BASEMENTAREA_AVG,0.12482773235942712
PREV_APP_REFUSED_AMT_ANNUITY_MAX,0.12388319366386684
CREDIT_CARD_CNT_DRAWINGS_ATM_CURRENT_sum,0.12369111929025872
CREDIT_CARD_RAPID_ACCOUNT_TURNOVER_sum,0.12205778619147842
CREDIT_CARD_ACTIVE_sum,0.12182301624783903
INSTALLMENTS_MEAN_INSTALLMENT_LONG_TERM,0.12158510746494908
PREV_APP_APPROVED_LIFETIME_LOAN_SUM,0.12122523851526104
income_per_non_child,0.11990283529611342
POS_CASH_GENERAL_MEAN_SK_DPD_var,0.11926784076548319
EXT_SOURCE_2,0.11924568815966721
PREV_APP_APPROVED_ACTUAL_DURATION_MAX,0.1186093085790242
PREV_APP_PREV_RATIO_GOODS_TO_ANNUITY_MEAN,0.11842650181680564
PREV_APP_APPROVED_DURATION_SUM,0.11771870485555253
INSTALLMENTS_AMT_PAYMENT_sum_LONG_TERM,0.11728048128194318
PREV_APP_PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.11679288585778384
POS_CASH_NOT_COMPLETED_SK_DPD_DEF,0.11669124933244292
YEARS_BEGINEXPLUATATION_AVG,0.11603085757919092
PREV_APP_REFUSED_ANNUITY_PAYMENT_PRODUCT_MEAN,0.1159795770698691
POS_CASH_LONG_TERM_CNT_INSTALMENT,0.11578023570370169
PREV_APP_PREV_RATIO_APPLICATION_TO_ANNUITY_STD,0.11569771704129451
POS_CASH_GENERAL_SK_DPD_max,0.11558251128435028
CREDIT_DOWN_PAYMENT,0.11368686424993889
PREV_APP_APPROVED_CNT_PAYMENT_MEAN,0.11271944963118996
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_730_DAYS_mean,0.11248542207087597
INSTALLMENTS_EARLYNESS_LAST_730_DAYS_mean,0.11248542207087597
CREDIT_CARD_12_MONTH_AMT_CREDIT_LIMIT_ACTUAL_min,0.11229454635408224
PREV_APP_APPROVED_AMT_CREDIT_STD,0.11180913690112672
CREDIT_CARD_12_MONTH_AMT_PAYMENT_TOTAL_CURRENT_std,0.1116940020454239
PREV_APP_APPROVED_APP_CREDIT_PERC_MAX,0.11050670157869925
PREV_APP_ratio_amt_application_insuranced,0.1100544329904545
CREDIT_CARD_36_MONTH_AMT_DRAWINGS_CURRENT_max,0.11004990368300466
AMT_ANNUITY,0.1098406355949468
PREV_APP_PREV_RATE_DOWN_PAYMENT_MAX,0.10925746257661437
INSTALLMENTS_PAYMENT_LAST_90_DAYS_max,0.10894203317308378
INSTALLMENTS_PAYMENT_LAST_730_DAYS_std,0.10849066098765411
FLOORSMIN_AVG,0.10747843642357904
CREDIT_CARD_36_MONTH_AMT_PAYMENT_TOTAL_CURRENT_mean,0.10711479285544363
CREDIT_CARD_6_MONTH_AMT_INST_MIN_REGULARITY_std,0.10647702406064223
PREV_APP_PREV_RATIO_GOODS_TO_ANNUITY_STD,0.1062725284861214
PREV_APP_PREV_RATE_DOWN_PAYMENT_MEAN,0.10569057213673524
CREDIT_CARD_6_MONTH_AMT_DRAWINGS_CURRENT_sum,0.10540842606421322
PREV_APP_APPROVED_DOWN_PAYMENT_RATIO_STD,0.10480643244613966
PREV_APP_APPROVED_Insuranced_amt_credit_MEAN,0.10478715048240296
PREV_APP_PREV_AMT_APPLICATION_MEAN,0.10455333998008122
PREV_APP_APPROVED_AMT_GOODS_PRICE_SUM,0.10409984643999505
PREV_APP_APPROVED_AMT_APPLICATION_SUM,0.10409984643999505
CREDIT_CARD_AMT_DRAWINGS_ATM_CURRENT_sum,0.10408493979724659
INSTALLMENTS_EARLYNESS_LAST_365_DAYS_sum,0.10384084675283192
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_365_DAYS_sum,0.10384084675283192
CREDIT_CARD_36_MONTH_CNT_DRAWINGS_ATM_CURRENT_sum,0.10303902565129565
POS_CASH_GENERAL_COUNT_SK_DPD_DEF_var,0.1027720180482
PREV_APP_PREV_NAME_CONTRACT_TYPE_Consumer loans_SUM,0.10231619026676038
true_income_div_totalarea,0.10143774447352648
PREV_APP_PREV_CHURN_PREV_NaN_MEAN,0.10137585399568268
BUREAU_GENERAL_AMT_CREDIT_SUM_DEBT_sum,0.10124079306485406
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_STD,0.10066604447804077
true_income_div_totalarea2,0.10063581550531715
ext_sources_mean,0.10050479889270975
CREDIT_CARD_12_MONTH_AMT_DRAWINGS_CURRENT_max,0.10011523600318795
ext_sources_sum,0.09987490983619128
PREV_APP_PREV_AMT_GOODS_PRICE_STD,0.09951314995614619
YEARS_BUILD_MODE,0.09912083447797974
PREV_APP_PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.09892770136284415
INSTALLMENTS_LAST_90_DAYS_sum,0.09874964382284931
PREV_APP_APPROVED_HIGH_DOWN_PAYMENT_SUM,0.09853382850730173
INSTALLMENTS_PAYMENT_LAST_90_DAYS_mean,0.09786219154370916
PREV_APP_APPROVED_AMT_APPLICATION_MAX,0.09693297321666035
CREDIT_CARD_36_MONTH_AMT_PAYMENT_TOTAL_CURRENT_std,0.09681657518866024
PREV_APP_REFUSED_AMT_GOODS_PRICE_MEAN,0.09675009714938719
PREV_APP_PREV_DOWN_PAYMENT_RATIO_STD,0.09669253482127017
credit_per_person,0.09561459728016218
CREDIT_CARD_36_MONTH_FLAG_UTILIZATION_LESS_50_sum,0.09552708923862549
CREDIT_CARD_AMT_DRAWINGS_CURRENT_max,0.09537278193508117
YEARS_BEGINEXPLUATATION_MEDI,0.09518134979493492
CREDIT_CARD_36_MONTH_AMT_BALANCE_sum,0.09510286612703321
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_mean,0.09459627698638517
PREV_APP_PREV_ANNUITY_PAYMENT_PRODUCT_STD,0.09413486664453026
car_to_employ_ratio,0.09288987088452033
CREDIT_CARD_12_MONTH_AMT_BALANCE_sum,0.09217989491151463
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_180_DAYS_mean,0.09170950017223616
INSTALLMENTS_EARLYNESS_LAST_180_DAYS_mean,0.09170950017223616
INSTALLMENTS_PAYMENT_LAST_90_DAYS_sum_LONG_TERM,0.09133130400562041
PREV_APP_APPROVED_AMT_CREDIT_MIN,0.09090957187895828
NEW_DOC_IND_KURT,0.09083082223568814
INSTALLMENTS_PAYMENT_LAST_90_DAYS_sum_SHORT_TERM,0.09021261060639837
DEF_30_CNT_SOCIAL_CIRCLE,0.08990423325689548
BUREAU_AMT_CREDIT_SUM_DEBT_x,0.08983713951307315
PREV_APP_PREV_HIGH_DOWN_PAYMENT_SUM,0.08976393769382561
PREV_APP_ratio_amt_credit_insuranced,0.08924834426608676
POS_CASH_GENERAL_LAST_12_MONTHS_sum,0.08922268790225904
BUREAU_GENERAL_AMT_CREDIT_SUM_LIMIT_sum,0.08900058715839868
PREV_APP_PREV_CNT_PAYMENT_SUM,0.08877206581569055
YEARS_BUILD_MEDI,0.08836527161874512
PREV_APP_REFUSED_AMT_APPLICATION_MIN,0.08812888163797317
PREV_APP_PREV_AMT_CREDIT_SUM,0.08783592518340363
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_max,0.08783216608887509
CREDIT_CARD_FLAG_UTILIZATION_LESS_25_mean,0.08777588000709151
PREV_APP_PREV_AMT_DOWN_PAYMENT_STD,0.08766304259493121
BUREAU_DEBT_CREDIT_RATIO,0.08671171423925036
EXT_SOURCE_3,0.08617862168999413
BUREAU_SUM_DEBT_CONSUMER_CREDIT,0.08596117420368739
POS_CASH_GENERAL_CNT_INSTALMENT_sum,0.08587794835885103
CREDIT_CARD_AMT_DRAWINGS_CURRENT_std,0.08508113585922422
CREDIT_CARD_36_MONTH_AMT_INST_MIN_REGULARITY_std,0.08480936461109521
NONLIVINGAPARTMENTS_MEDI,0.08459019861675816
PREV_APP_PREV_AMT_GOODS_PRICE_MEAN,0.08415297418105289
PREV_APP_PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,0.08362661892251153
FLOORSMAX_MODE,0.08336255742651281
BUREAU_ACTIVE_SUM_CREDIT_30_DAYS,0.08332752028379031
PREV_APP_PREV_APP_CREDIT_PERC_MIN,0.08310251231692034
PREV_APP_APPROVED_ACTUAL_DURATION_MEAN,0.0827653471971563
POS_CASH_SHORT_TERM_SK_DPD_DEF,0.0824476636736957
INSTALLMENTS_PAYMENT_LAST_365_DAYS_max,0.08223717571376041
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_730_DAYS_max,0.08223039590336732
INSTALLMENTS_EARLYNESS_LAST_730_DAYS_max,0.08223039590336732
COMMONAREA_MODE,0.08166611083310313
POS_CASH_GENERAL_MONTHS_BALANCE_max,0.08164309789219662
PREV_APP_PREV_AMT_CREDIT_MAX,0.08147024131170491
