,importance
POS_CASH_GENERAL_CNT_INSTALMENT_FUTURE_sum,0.46326356268362984
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_SUM,0.40717019301734214
CREDIT_CARD_36_MONTH_AMT_INST_MIN_REGULARITY_mean,0.37065441695217477
WEAK_FEATURE_2,0.35561657271355607
POS_CASH_GENERAL_COUNT_SK_DPD_DEF_mean,0.3550339253664593
FLAG_OWN_CAR,0.34970984386982823
INSTALLMENTS_PAYMENT_LAST_30_DAYS_sum,0.34934115528748844
WEAK_FEATURE_3,0.28757093330213723
PREV_APP_PREV_ANNUITY_PAYMENT_PRODUCT_MEAN,0.28063593491518557
OWN_CAR_AGE,0.27996315625353196
WEAK_FEATURE,0.2798310469546442
INSTALLMENTS_EARLY_std,0.27843360385143884
PREV_APP_APPROVED_AMT_CREDIT_MEAN,0.27697107572109664
PREV_APP_APPROVED_AMT_GOODS_PRICE_MIN,0.2631448807694631
POS_CASH_NOT_COMPLETED_CNT_INSTALMENT_FUTURE,0.255984777436423
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_MEAN,0.25176059338698564
DAYS_EMPLOYED,0.2461122223104478
INSTALLMENTS_PAYMENT_LAST_90_DAYS_std,0.24541415400112657
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_SUM,0.23662675189235352
days_employed_percentage,0.23021442432657943
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MEAN,0.22399484508148923
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MAX,0.2177060354405562
INSTALLMENTS_PAYMENT_EARLYNESS_LAST_730_DAYS_std,0.21261571276426228
INSTALLMENTS_EARLYNESS_LAST_730_DAYS_std,0.21261571276426228
PREV_APP_REFUSED_AMT_CREDIT_SUM,0.21240323014907714
PREV_APP_PREV_AMT_ANNUITY_SUM,0.20900883571211168
NEW_DOC_IND_KURT,0.2080013676875617
CREDIT_CARD_36_MONTH_AMT_PAYMENT_TOTAL_CURRENT_sum,0.20041311089287644
PREV_APP_APPROVED_CREDIT_DOWNPAYMENT_MIN,0.20028727444071007
PREV_APP_PREV_AMT_GOODS_PRICE_SUM,0.19710002625778877
BUREAU_ACTIVE_AMT_CREDIT_SUM,0.19625016721025068
FLOORSMIN_MEDI,0.19463129170575233
CREDIT_CARD_AMT_PAYMENT_TOTAL_CURRENT_std,0.19088491211062758
POS_CASH_GENERAL_SK_DPD_DEF_var,0.19078312590108246
INSTALLMENTS_PAYMENT_LAST_730_DAYS_sum,0.1897039367312372
POS_CASH_GENERAL_SK_DPD_DEF_sum,0.18478562395021847
BUREAU_AMT_CREDIT_MEAN_x,0.18298999721163023
OBS_60_CNT_SOCIAL_CIRCLE,0.17993180785389976
BUREAU_SUM_CONSUMER_CREDIT,0.1780238124606865
POS_CASH_GENERAL_SK_DPD_DEF_max,0.17758471868821774
BUREAU_GENERAL_SK_ID_BUREAU_count,0.17362066054795627
INSTALLMENTS_PAYMENT_LAST_90_DAYS_sum,0.17320717305901084
PREV_APP_REFUSED_AMT_CREDIT_MIN,0.1729403231182905
CODE_GENDER,0.16871530918971575
INSTALLMENTS_PAYMENT_LAST_30_DAYS_mean,0.16841711994856678
INSTALLMENTS_PAYMENT_LAST_30_DAYS_std,0.16841468259477121
LANDAREA_MODE,0.16760104613854282
PREV_APP_PREV_AMT_APPLICATION_STD,0.16694010285705874
PREV_APP_PREV_ANNUITY_PAYMENT_PRODUCT_STD,0.16688991080803245
PREV_APP_APPROVED_ANNUITY_PAYMENT_PRODUCT_STD,0.16680528693208818
CREDIT_CARD_6_MONTH_AMT_BALANCE_sum,0.16396674994495689
CREDIT_CARD_6_MONTH_AMT_CREDIT_LIMIT_ACTUAL_mean,0.1618286633646524
PREV_APP_PREV_AMT_CREDIT_MEAN,0.16067930979212658
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_mean,0.15818446464479216
CREDIT_CARD_36_MONTH_AMT_CREDIT_LIMIT_ACTUAL_std,0.1576204436838005
PREV_APP_REFUSED_AMT_GOODS_PRICE_SUM,0.15632492109188872
BUREAU_DEBT_CREDIT_RATIO,0.15521113956019283
LANDAREA_MEDI,0.15489001611949577
PREV_APP_PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.1535219684970061
CREDIT_CARD_AMT_CREDIT_LIMIT_ACTUAL_std,0.152626424281208
BUREAU_GENERAL_AMT_CREDIT_SUM_sum,0.15208579937819605
AMT_ANNUITY,0.15201409156240192
PREV_APP_APPROVED_Insuranced_amt_credit_STD,0.15181904863824308
INSTALLMENTS_PAYMENT_LAST_90_DAYS_max,0.1513368676636002
PREV_APP_PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.1509542267453521
BUREAU_GENERAL_AMT_CREDIT_SUM_mean,0.14927153885143848
OBS_30_CNT_SOCIAL_CIRCLE,0.14802843956516182
PREV_APP_REFUSED_AMT_GOODS_PRICE_MAX,0.14774970045013547
PREV_APP_APPROVED_AMT_CREDIT_MIN,0.1461016216072669
DAYS_BIRTH,0.1449556453879874
PREV_APP_APPROVED_NAME_CASH_LOAN_PURPOSE_XNA_SUM,0.14353750241295335
PREV_APP_REFUSED_ANNUITY_PAYMENT_PRODUCT_MEAN,0.1434826041495571
CREDIT_CARD_36_MONTH_AMT_PAYMENT_TOTAL_CURRENT_std,0.14213690844702248
income_ratio,0.1419378773698186
CREDIT_CARD_SUM_ALL_AMT_DRAWINGS_mean,0.14188080330741673
CREDIT_CARD_AMT_INST_MIN_REGULARITY_mean,0.14116920468101926
PREV_APP_APPROVED_APP_CREDIT_PERC_SUM,0.13936777978071854
CREDIT_DOWN_PAYMENT,0.1389032471372261
INSTALLMENTS_LAST_90_DAYS_sum,0.13603718736904458
POS_CASH_GENERAL_SK_DPD_sum,0.13398421241541092
YEARS_BEGINEXPLUATATION_AVG,0.13359752549828205
PREV_APP_APPROVED_AMT_APPLICATION_MAX,0.13278382639694244
PREV_APP_APPROVED_Insuranced_amt_application_STD,0.13240011738442495
POS_CASH_NOT_COMPLETED_SK_DPD,0.13237396835613105
CREDIT_CARD_CNT_DRAWINGS_CURRENT_mean,0.13189594060201995
PREV_APP_APPROVED_AMT_APPLICATION_MEAN,0.12875522602885392
CREDIT_CARD_36_MONTH_AMT_CREDIT_LIMIT_ACTUAL_mean,0.12832745835905343
PREV_APP_PREV_AMT_CREDIT_MAX,0.12757810924469867
BASEMENTAREA_MODE,0.12611981871691852
EXT_SOURCE_2,0.12610044613731122
income_ratio2,0.12606666782564618
CREDIT_CARD_36_MONTH_AMT_DRAWINGS_CURRENT_mean,0.12531322540407602
INSTALLMENTS_EARLY_sum,0.12370005041681367
CREDIT_CARD_6_MONTH_AMT_INST_MIN_REGULARITY_mean,0.12325968567230136
INSTALLMENTS_MEAN_INSTALLMENT_LONG_TERM,0.12231767667184092
CREDIT_CARD_6_MONTH_AMT_DRAWINGS_CURRENT_sum,0.1218861133108093
PREV_APP_PREV_CNT_PAYMENT_MEAN,0.12178085474420657
BUREAU_SUM_DEBT_CONSUMER_CREDIT,0.12120681068559991
INSTALLMENTS_PAYMENT_LAST_365_DAYS_max,0.1205588681106351
PREV_APP_APPROVED_CNT_PAYMENT_MEAN,0.12053061743858232
POS_CASH_GENERAL_NUM_INSTALMENT_sum,0.12029303567508977
EXT_SOURCE_3,0.12028689062043187
